Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Courses Available,Geocoded Address,NPI,Last Report Date,Provider Status,Provider Note
Avalon Pharmacy,7 Second Ave,,New York,New York,NY,10003,00069-1085-30,Paxlovid,52,POINT (-73.9913 40.72403),1629305800,10/04/2022 12:00:00 AM,ACTIVE,
PLUS DRUGS INC,209-31 Northern Blvd,,Bayside,Queens,NY,11361,00069-1085-30,Paxlovid,29,POINT (-73.77338 40.75943),1861843302,10/14/2022 12:00:00 AM,ACTIVE,
ACME,3101 ROUTE 22,,Patterson,Putnam,NY,12563,00069-1085-30,Paxlovid,6,POINT (-73.591667 41.51687),1376900290,10/16/2022 12:00:00 AM,ACTIVE,
TAP RX,111 EXECUTIVE BLVD,,Farmingdale,Nassau,NY,11735,00069-1085-30,Paxlovid,121,POINT (-73.428406 40.72173),1710005822,10/14/2022 12:00:00 AM,ACTIVE,
Rite Aid 10804,12983 MAIN ROAD,,Akron,Erie,NY,14001,00069-1085-30,Paxlovid,41,POINT (-78.50282 42.99713),1851490098,10/13/2022 12:00:00 AM,ACTIVE,
NYC HEALTH + HOSPITALS/LINCOLN,234 EAST 149TH STREET,,Bronx,Bronx,NY,10451,00310-7442-02,Evusheld,24,POINT (-73.9241 40.81753),,10/12/2022 12:00:00 AM,ACTIVE,
Rite Aid 10574,7118 3RD AVENUE,,Brooklyn,Kings,NY,11209,00069-1101-20,Renal Paxlovid,8,POINT (-74.027165 40.633835),1548360902,10/13/2022 12:00:00 AM,ACTIVE,
Rite Aid 01805,33-01 30TH AVENUE,,Astoria,Queens,NY,11103,00069-1101-20,Renal Paxlovid,5,POINT (-73.91945 40.766205),1922119080,10/13/2022 12:00:00 AM,ACTIVE,
Rite Aid 04894,605 TITUS AVENUE,,Rochester,Monroe,NY,14617,00069-1101-20,Renal Paxlovid,5,POINT (-77.600385 43.21012),1306955786,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #19694,11088 QUEENS BLVD,,Forest Hills,Queens,NY,11375,00069-1085-30,Paxlovid,23,POINT (-73.838065 40.71843),1730605411,10/13/2022 12:00:00 AM,ACTIVE,
"Neil Subes bpb drugs, inc.",131 East 60th Street,,New York,New York,NY,10022,00069-1085-30,Paxlovid,0,POINT (-73.96795 40.76306),,07/12/2022 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
CVS Store #05032,"541 PAWLING AVE., PAWLING S/C",CVS Pharmacy,Troy,Rensselaer,NY,12180,00069-1085-30,Paxlovid,8,POINT (-73.65918 42.70577),1033212873,10/14/2022 12:00:00 AM,ACTIVE,
CARE FAST PHARMACY INC,3771 Nostrand Ave,,Brooklyn,Kings,NY,11235,00069-1085-30,Paxlovid,42,POINT (-73.94005 40.59194),1710315957,10/14/2022 12:00:00 AM,ACTIVE,
Stop and Shop Store # 2586,625 ATLANTIC AVENUE,,Brooklyn,Kings,NY,11217,00069-1085-30,Paxlovid,35,POINT (-73.97557 40.68367),1518336353,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #06023,82 WEST MAIN STREET,CVS Pharmacy,Smithtown,Suffolk,NY,11787,00069-1085-30,Paxlovid,51,POINT (-73.19671 40.85414),1225131055,10/14/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #2166,6438 Basile Rowe,,East Syracuse,Onondaga,NY,13057,00069-1085-30,Paxlovid,22,POINT (-76.060145 43.06121),1235156472,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #19158,1419 NEWKIRK AVE,,Brooklyn,Kings,NY,11226,00069-1085-30,Paxlovid,22,POINT (-73.96352 40.63558),1750808390,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #14118,305 BROADWAY,,New York,New York,NY,10007,00069-1085-30,Paxlovid,69,POINT (-74.005515 40.71549),1952326431,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #19049,2616 BREWERTON RD,,Mattydale,Onondaga,NY,13211,00069-1085-30,Paxlovid,34,POINT (-76.145045 43.10383),1063936185,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #02036,1622 THIRD AVE,BOROUGH OF MANHATTAN,New York,New York,NY,10128,00069-1085-30,Paxlovid,58,POINT (-73.95174 40.78221),1750489381,10/14/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #14354,194 E 2ND ST,,New York,New York,NY,10009,00069-1085-30,Paxlovid,5,POINT (-73.98393 40.72233),1134144603,10/13/2022 12:00:00 AM,ACTIVE,
Sams Pharmacy #6428,2950 Horseblock Rd,,Medford,Suffolk,NY,11763,00069-1085-30,Paxlovid,15,POINT (-72.99218 40.82659),1326065491,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #03247,65 FOREST AVE,CVS Pharmacy,Glen Cove,Nassau,NY,11542,00069-1085-30,Paxlovid,54,POINT (-73.62518 40.87226),1023111853,10/14/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #2915,3990 Nesconset Hwy,,East Setauket,Suffolk,NY,11733,00069-1085-30,Paxlovid,7,POINT (-73.0763 40.90403),1124045299,10/13/2022 12:00:00 AM,ACTIVE,
Rite Aid 10832,480 EVANS ROAD,,Williamsville,Erie,NY,14221,00069-1085-30,Paxlovid,48,POINT (-78.74036 42.97721),1275633638,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #00134,16 NEW SCOTLAND AVE.,CVS Pharmacy,Albany,Albany,NY,12208,00069-1085-30,Paxlovid,23,POINT (-73.77328 42.653405),1518273481,10/14/2022 12:00:00 AM,ACTIVE,
Rite Aid 10887,209 MOUNT ZOAR STREET,,Elmira,Chemung,NY,14904,00069-1085-30,Paxlovid,28,POINT (-76.803925 42.079015),1861591109,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #03857,3488 MAIN ST,,Buffalo,Erie,NY,14214,00069-1085-30,Paxlovid,14,POINT (-78.81961 42.95769),1982619052,10/13/2022 12:00:00 AM,ACTIVE,
Rite Aid 00758,8015 NIAGARA FALLS BOULEVARD,,Niagara Falls,Niagara,NY,14304,00069-1085-30,Paxlovid,22,POINT (-78.97196 43.08872),1831208370,10/13/2022 12:00:00 AM,ACTIVE,
JAMAICA HOSPITAL MEDICAL CENTER,8900 VAN WYCK EXPRESSWAY,ATTN: PHARMACY,Jamaica,Queens,NY,11418,00002-7589-01,Bebtelovimab,13,POINT (-73.81579 40.70026),,10/11/2022 12:00:00 AM,ACTIVE,
Rite Aid 10669,50 EAST MONTAUK HIGHWAY,,Hampton Bays,Suffolk,NY,11946,00069-1085-30,Paxlovid,36,POINT (-72.52163 40.87858),1629177894,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #02698,4331 NESCONSET HWY.,CVS Pharmacy,Port Jefferson Station,Suffolk,NY,11776,00069-1085-30,Paxlovid,46,POINT (-73.06559 40.908055),1629172481,10/14/2022 12:00:00 AM,ACTIVE,
Montefiore Community Pharm at CHAM,111 E 210th St,Cham Lobby,Bronx,Bronx,NY,10467,00069-1085-30,Paxlovid,38,POINT (-73.8799 40.87986),1194183715,10/16/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #12473,1180 FRENCH RD,,Cheektowaga,Erie,NY,14227,00069-1085-30,Paxlovid,11,POINT (-78.71037 42.86828),1023310190,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #03148,21 CHATSWORTH AVENUE,CVS Pharmacy,Larchmont,Westchester,NY,10538,00069-1085-30,Paxlovid,37,POINT (-73.75172 40.93027),1356445118,10/14/2022 12:00:00 AM,ACTIVE,
Rite Aid 04185,3539 BROADWAY,,New York,New York,NY,10031,00069-1085-30,Paxlovid,68,POINT (-73.95078 40.82617),1740399286,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #02721,935 HORSEBLOCK RD.,CVS Pharmacy,Farmingville,Suffolk,NY,11738,00069-1085-30,Paxlovid,31,POINT (-73.02394 40.831105),1265536023,10/14/2022 12:00:00 AM,ACTIVE,
JERICHO ROAD CHC - BARTON,1021 Broadway Street,,Buffalo,Erie,NY,14212,00069-1085-30,Paxlovid,25,POINT (-78.83666 42.89316),1972944080,09/08/2022 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
RAINBOW CARE PHARMA INC.,13542 ROOSEVELT AVE,,Flushing,Queens,NY,11354,00069-1085-30,Paxlovid,68,POINT (-73.830475 40.759315),1073032645,09/23/2022 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
CVS Store #03096,3775 E. TREMONT AVE.,CVS Pharmacy,Bronx,Bronx,NY,10465,00069-1085-30,Paxlovid,38,POINT (-73.82072 40.82559),1376647131,10/14/2022 12:00:00 AM,ACTIVE,
CVS Store #02180,163 ROBINSON STREET,CVS Pharmacy,Binghamton,Broome,NY,13904,00069-1085-30,Paxlovid,46,POINT (-75.88925 42.10796),1548368178,10/14/2022 12:00:00 AM,ACTIVE,
ROSWELL PARK CANCER INSTITUTE,Elm And Carlton St,,Buffalo,Erie,NY,14263,00002-7589-01,Bebtelovimab,26,POINT (-78.865255 42.898005),1548315401,10/03/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #14400,17 JOHN ST,,New York,New York,NY,10038,00069-1085-30,Paxlovid,6,POINT (-74.00872 40.709955),1508011362,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #05389,2535 STATE ROUTE 9,CVS Pharmacy,Malta,Saratoga,NY,12020,00069-1085-30,Paxlovid,55,POINT (-73.79127 42.97334),1932202769,10/14/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #2159,1869 Plaza Dr,,Olean,Cattaraugus,NY,14760,00069-1085-30,Paxlovid,25,POINT (-78.46811 42.07965),1609893767,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #19375,7009 13TH AVE,,Brooklyn,Kings,NY,11228,00069-1085-30,Paxlovid,48,POINT (-74.00483 40.62259),1063936326,10/13/2022 12:00:00 AM,ACTIVE,
Rite Aid 01912,3987 LOCKPORT OLCOTT ROAD,,Lockport,Niagara,NY,14094,00069-1085-30,Paxlovid,48,POINT (-78.676085 43.21934),1790896843,10/13/2022 12:00:00 AM,ACTIVE,
UPSTATE UNIVERSITY HOSPITAL AT COMM,4900 Broad Road,,Syracuse,Onondaga,NY,13215,00002-7589-01,Bebtelovimab,7,POINT (-76.16843 43.00666),1689620163,10/06/2022 12:00:00 AM,ACTIVE,
Hannaford Brothers Store # 8372,1122 MOHAWK STREET,,Utica,Oneida,NY,13504,00069-1085-30,Paxlovid,24,POINT (-75.22182 43.09151),1114035599,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #04451,3496 LONG BEACH RD,CVS Pharmacy,Oceanside,Nassau,NY,11572,00069-1085-30,Paxlovid,49,POINT (-73.64041 40.62602),1215030044,10/14/2022 12:00:00 AM,ACTIVE,
CVS Store #10298,241 WEST 57TH ST.,CVS Pharmacy,New York,New York,NY,10019,00069-1085-30,Paxlovid,84,POINT (-73.98221 40.766885),1427484724,10/14/2022 12:00:00 AM,ACTIVE,
NYC HEALTH + HOSPITALS/BELLEVUE,462 FIRST AVENUE,,New York,New York,NY,10016,00002-7589-01,Bebtelovimab,39,POINT (-73.97534 40.73875),,10/13/2022 12:00:00 AM,ACTIVE,
QUINLANS PHARMACY INC,107 NORTH MAIN ST,,Wayland,Steuben,NY,14572,00069-1085-30,Paxlovid,25,POINT (-77.59184 42.56915),1629010400,09/22/2022 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
WALGREENS STORE #06823,1968 GRAND AVE,,North Baldwin,Nassau,NY,11510,00069-1085-30,Paxlovid,9,POINT (-73.6083 40.66245),1043225113,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #01963,510 MIDDLE NECK ROAD,CVS Pharmacy,Great Neck,Nassau,NY,11023,00069-1085-30,Paxlovid,40,POINT (-73.73454 40.80016),1952405714,10/14/2022 12:00:00 AM,ACTIVE,
CVS Store #00458,50 PENNSYLVANIA AVENUE,CVS Pharmacy,Binghamton,Broome,NY,13903,00069-1085-30,Paxlovid,46,POINT (-75.917136 42.08628),1992809743,10/14/2022 12:00:00 AM,ACTIVE,
CVS Store #06051,501 FOREST AVE.,CVS Pharmacy,Staten Island,Richmond,NY,10310,00069-1085-30,Paxlovid,67,POINT (-74.106105 40.63088),1235232083,10/14/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #3329,7494 US Highway 11,,Potsdam,Saint Lawrence,NY,13676,00069-1085-30,Paxlovid,22,POINT (-75.0265 44.661765),1861657181,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #02432,375 WHITE PLAINS ROAD,CVS Pharmacy,Eastchester,Westchester,NY,10709,00069-1085-30,Paxlovid,65,POINT (-73.814185 40.95409),1124122981,10/14/2022 12:00:00 AM,ACTIVE,
